ISENTROPIC FLOW PROPERTIES

0.1620 * 1e+1; 0.4378 * 1e+1; 0.2871 * 1e+1; 0.1525 * 1e+1; 0.1267 * 1e+1
0.1640 * 1e+1; 0.4511 * 1e+1; 0.2933 * 1e+1; 0.1538 * 1e+1; 0.1284 * 1e+1
0.1660 * 1e+1; 0.4648 * 1e+1; 0.2996 * 1e+1; 0.1551 * 1e+1; 0.1301 * 1e+1
0.1680 * 1e+1; 0.4790 * 1e+1; 0.3061 * 1e+1; 0.1564 * 1e+1; 0.1319 * 1e+1
0.1700 * 1e+1; 0.4936 * 1e+1; 0.3128 * 1e+1; 0.1578 * 1e+1; 0.1338 * 1e+1
0.1720 * 1e+1; 0.5087 * 1e+1; 0.3196 * 1e+1; 0.1592 * 1e+1; 0.1357 * 1e+1
0.1740 * 1e+1; 0.5244 * 1e+1; 0.3266 * 1e+1; 0.1606 * 1e+1; 0.1376 * 1e+1
0.1760 * 1e+1; 0.5406 * 1e+1; 0.3338 * 1e+1; 0.1620 * 1e+1; 0.1397 * 1e+1
0.1780 * 1e+1; 0.5573 * 1e+1; 0.3411 * 1e+1; 0.1634 * 1e+1; 0.1418 * 1e+1
0.1800 * 1e+1; 0.5746 * 1e+1; 0.3487 * 1e+1; 0.1648 * 1e+1; 0.1439 * 1e+1
0.1820 * 1e+1; 0.5924 * 1e+1; 0.3564 * 1e+1; 0.1662 * 1e+1; 0.1461 * 1e+1
0.1840 * 1e+1; 0.6109 * 1e+1; 0.3643 * 1e+1; 0.1677 * 1e+1; 0.1484 * 1e+1
0.1860 * 1e+1; 0.6300 * 1e+1; 0.3723 * 1e+1; 0.1692 * 1e+1; 0.1507 * 1e+1
0.1880 * 1e+1; 0.6497 * 1e+1; 0.3806 * 1e+1; 0.1707 * 1e+1; 0.1531 * 1e+1
0.1900 * 1e+1; 0.6701 * 1e+1; 0.3891 * 1e+1; 0.1722 * 1e+1; 0.1555 * 1e+1
0.1920 * 1e+1; 0.6911 * 1e+1; 0.3978 * 1e+1; 0.1737 * 1e+1; 0.1580 * 1e+1
0.1940 * 1e+1; 0.7128 * 1e+1; 0.4067 * 1e+1; 0.1753 * 1e+1; 0.1606 * 1e+1
0.1960 * 1e+1; 0.7353 * 1e+1; 0.4158 * 1e+1; 0.1768 * 1e+1; 0.1633 * 1e+1
0.1980 * 1e+1; 0.7585 * 1e+1; 0.4251 * 1e+1; 0.1784 * 1e+1; 0.1660 * 1e+1
0.2000 * 1e+1; 0.7824 * 1e+1; 0.4347 * 1e+1; 0.1800 * 1e+1; 0.1687 * 1e+1
0.2050 * 1e+1; 0.8458 * 1e+1; 0.4596 * 1e+1; 0.1840 * 1e+1; 0.1760 * 1e+1
0.2100 * 1e+1; 0.9145 * 1e+1; 0.4859 * 1e+1; 0.1882 * 1e+1; 0.1837 * 1e+1
0.2150 * 1e+1; 0.9888 * 1e+1; 0.5138 * 1e+1; 0.1924 * 1e+1; 0.1919 * 1e+1
0.2200 * 1e+1; 0.1069 * 1e+2; 0.5433 * 1e+1; 0.1968 * 1e+1; 0.2005 * 1e+1
0.2250 * 1e+1; 0.1156 * 1e+2; 0.5746 * 1e41; 0.2012 * 1e+1; 0.2096 * 1e+1
0.2300 * 1e+1; 0.1250 * 1e+2; 0.6076 * 1e+1; 0.2058 * 1e+1; 0.2193 * 1e+1
0.2350 * 1e+1; 0.1352 * 1e+2; 0.6425 * 1e+1; 0.2104 * 1e+1; 0.2295 * 1e+1
0.2400 * 1e+1; 0.1462 * 1e+2; 0.6794 * 1e+1; 0.2152 * 1e+1; 0.2403 * 1e+1
0.2450 * 1e+1; 0.1581 * 1e+2; 0.7183 * 1e+1; 0.2200 * 1e+1; 0.2517 * 1e+1
0.2500 * 1e+1; 0.1709 * 1e+2; 0.7594 * 1e+1; 0.2250 * 1e+1; 0.2637 * 1e+1
0.2550 * 1e+1; 0.1847 * 1e+2; 0.8027 * 1e+1; 0.2300 * 1e+1; 0.2763 * 1e+1
0.2600 * 1e+1; 0.1995 * 1e+2; 0.8484 * 1e+1; 0.2352 * 1e+1; 0.2896 * 1e+1
0.2650 * 1e+1; 0.2156 * 1e+2; 0.8965 * 1e+1; 0.2404 * 1e+1; 0.3036 * 1e+1
0.2700 * 1e+1; 0.2328 * 1e+2; 0.9472 * 1e+1; 0.2458 * 1e+1; 0.3183 * 1e+1
0.2750 * 1e+1; 0.2514 * 1e+2; 0.1001 * 1e+2; 0.2512 * 1e+1; 0.3338 * 1e+1
0.2800 * 1e+1; 0.2714 * 1e+2; 0.1057 * 1e+2; 0.2568 * 1e+1; 0.3500 * 1e+1
0.2850 * 1e+1; 0.2929 * 1e+2; 0.1116 * 1e+2; 0.2624 * 1e+1; 0.3671 * 1e+1
